0,Keith Mellendorf is going to 'Test Event #1'
1,Keith Mellendorf is undecided about 'Test Event #1'
2,Keith Mellendorf created event 'Test Event #1' https://s.groupme.com/3GZRlc
3,Hello World!
4,Keith Mellendorf added the LogisticsBot bot
